url,title,body,has_marcos,has_sara,pub_year
https://www.rappler.com/voices/imho/opinion-why-does-bongbong-marcos-get-so-much-support/,[OPINION] Why does Bongbong Marcos get so much support?,,True,False,2021
https://www.rappler.com/philippines/marcos-signs-new-philippine-passport-act-allowing-online-applications/,Marcos signs ‘New Philippine Passport Act’ allowing online applications,,True,False,2024
https://www.rappler.com/business/marcos-jr-faces-bitter-economics-sugar-imports-philippines/,Marcos faces bitter economics of Philippines’ sugar imports,,True,False,2022
https://www.rappler.com/philippines/marcos-designates-carlito-galvez-jr-peace-summit-ukraine-june-2024/,"Marcos not going to Switzerland, designates Galvez to attend peace summit on Ukraine",,True,False,2024
https://www.rappler.com/philippines/us-state-department-statement-openness-marcos-icc/,US ‘appreciates openness’ of Marcos to ICC drug war probe,,True,False,2024
https://www.rappler.com/philippines/elections/rappler-to-marcos-camp-stop-harassing-journalists/,Rappler to Marcos camp: Stop harassing journalists,,True,False,2022
https://www.rappler.com/business/marcos-jr-government-cuts-tariffs-imported-rice-june-2024/,Marcos gov’t cuts tariffs on imported rice from 35% to 15%,,True,False,2024
https://www.rappler.com/newsbreak/podcasts-videos/marcos-duterte-show-walang-forever-in-politics/,"Newsbreak Chats: Marcos, Duterte show ‘walang forever’ in politics",,True,False,2023
https://www.rappler.com/philippines/broadcaster-percy-lapid-killed-in-las-pinas-2nd-under-marcos/,"Broadcaster Percy Lapid killed in Las Piñas, 2nd under Marcos",,True,False,2022
https://www.rappler.com/philippines/84959-bongbong-marcos-statement-oxford-wharton/,"Bongbong Marcos: Oxford, Wharton educational record ‘accurate’",,True,False,2015
https://www.rappler.com/philippines/experts-comment-ferdinand-bongbong-marcos-jr-view-west-philippine-sea/,"Marcos Jr. on West PH Sea: ‘Shallow, outdated, simply uninformed,’ say experts",,True,False,2022
https://www.rappler.com/philippines/remulla-order-nbi-probe-marcos-jr-deepfake-audio-ordering-military-attack/,Remulla directs NBI to probe Marcos deepfake audio ordering military attack,,True,False,2024
https://www.rappler.com/newsbreak/iq/84936-highlights-bongbong-marcos-legislator/,Highlights: Bongbong Marcos as legislator,,True,False,2015
https://www.rappler.com/philippines/marcos-partido-federal-pilipinas-lakas-cmd-forge-alliance-2025-midterms/,"Marcos’ Partido Federal, Lakas-CMD forge alliance for 2025 elections",,True,False,2024
https://rappler.com/philippines/marcos-signs-salt-industry-development-law-march-2024/,Marcos signs law seeking to revive Philippines’ salt industry,,True,False,2024
https://www.rappler.com/philippines/marcos-jr-response-arelma-ill-gotten-wealth-case-april-2024/,Will PH fight to get $40-million Marcos loot in New York? ‘I leave it to lawyers’,,True,False,2024
https://www.rappler.com/newsbreak/investigative/245540-networked-propaganda-false-narratives-from-the-marcos-arsenal/,Networked propaganda: False narratives from the Marcos arsenal,,True,False,2019
https://www.rappler.com/newsbreak/iq/146867-look-back-philippine-constabulary-marcos/https://www.rappler.com/philippines/marcos-reappoints-eduardo-manalo-special-envoy-overseas-filipinos-concerns/,Marcos reappoints Eduardo Manalo special envoy for overseas Filipinos concerns,,True,False,2023
https://www.rappler.com/philippines/marcos-orders-overhaul-redundant-government-performance-management-incentives-systems/,"Marcos orders overhaul of ‘redundant’ gov’t performance management, incentives systems",,True,False,2024
https://www.rappler.com/philippines/elections/ferdinand-bongbong-marcos-jr-will-set-aside-hague-ruling-united-states-treaty-dealing-china/,"In dealing with ‘friend’ China, Marcos will set aside Hague win and US treaty",,True,False,2022
https://www.rappler.com/philippines/juan-ponce-enrile-political-survivor-marcos-jr-presidency/,"From Marcos to Marcos: Enrile, the consummate political survivor",,True,False,2022
https://www.rappler.com/philippines/marcos-says-manila-not-rejected-beijing-proposals-south-china-sea-conflict-march-2024/,Marcos on West Philippine Sea: We have not rejected any proposal China made to us,,True,False,2024
https://www.rappler.com/philippines/marcos-orders-review-workers-minimum-wage-labor-day-may-2024/,"On Labor Day, Marcos orders review of workers’ minimum wage",,True,False,2024
