url,title,publication_authors,year,Marcos,Sara,Martial Law,Opinion
https://www.rappler.com/philippines/marcos-partido-federal-pilipinas-lakas-cmd-forge-alliance-2025-midterms/,"Marcos’ Partido Federal, Lakas-CMD forge alliance for 2025 elections",Dwight de Leon,2024,True,False,False,False
https://rappler.com/philippines/marcos-signs-salt-industry-development-law-march-2024/,Marcos signs law seeking to revive Philippines’ salt industry,Dwight de Leon,2024,True,False,False,False
https://www.rappler.com/philippines/marcos-jr-response-arelma-ill-gotten-wealth-case-april-2024/,Will PH fight to get $40-million Marcos loot in New York? ‘I leave it to lawyers’,"Dwight de Leon,Lian Buan",2024,True,False,False,False
https://www.rappler.com/newsbreak/investigative/245540-networked-propaganda-false-narratives-from-the-marcos-arsenal/,Networked propaganda: False narratives from the Marcos arsenal,Gemma B. Mendoza,2019,True,False,False,False
https://www.rappler.com/newsbreak/iq/146867-look-back-philippine-constabulary-marcos/https://www.rappler.com/philippines/marcos-reappoints-eduardo-manalo-special-envoy-overseas-filipinos-concerns/,Marcos reappoints Eduardo Manalo special envoy for overseas Filipinos concerns,Jairo Bolledo,2023,True,False,False,False
https://www.rappler.com/philippines/marcos-orders-overhaul-redundant-government-performance-management-incentives-systems/,"Marcos orders overhaul of ‘redundant’ gov’t performance management, incentives systems",Lance Spencer Yu,2024,True,False,False,False
https://www.rappler.com/philippines/elections/ferdinand-bongbong-marcos-jr-will-set-aside-hague-ruling-united-states-treaty-dealing-china/,"In dealing with ‘friend’ China, Marcos will set aside Hague win and US treaty","Lian Buan,Sofia Tomacruz",2022,True,False,False,False
https://www.rappler.com/philippines/juan-ponce-enrile-political-survivor-marcos-jr-presidency/,"From Marcos to Marcos: Enrile, the consummate political survivor",Bea Cupin,2022,True,False,False,False
https://www.rappler.com/philippines/marcos-says-manila-not-rejected-beijing-proposals-south-china-sea-conflict-march-2024/,Marcos on West Philippine Sea: We have not rejected any proposal China made to us,Dwight de Leon,2024,True,False,False,False
https://www.rappler.com/philippines/marcos-orders-review-workers-minimum-wage-labor-day-may-2024/,"On Labor Day, Marcos orders review of workers’ minimum wage",Dwight de Leon,2024,True,False,False,False
https://www.rappler.com/philippines/investment-deals-marcos-jr-germany-visit-march-2024/,Philippines secures $4 billion in investment deals during Marcos’ Germany visit,Dwight de Leon,2024,True,False,False,False
https://www.rappler.com/philippines/marcos-vows-countermeasures-against-china-attacks-march-28-2024/,Marcos vows countermeasures vs China’s ‘dangerous attacks’,Iya Gozum,2024,True,False,False,False
https://www.rappler.com/newsbreak/in-depth/240949-status-updates-rulings-court-cases-vs-marcos-family/,"What’s the latest on cases vs Imelda Marcos, family?",Michael Bueza,2019,True,False,False,False
https://www.rappler.com/philippines/103772-bongbong-marcos-regime-no-apologies/,Marcos on dad’s regime: What am I to apologize for?,Ayee Macaraig,2015,True,False,False,False
https://www.rappler.com/philippines/menardo-guevarra-marcos-jr-solicitor-general/,Incoming solicitor general Guevarra: From Aquino to Duterte and now Marcos,Lian Buan,2022,True,False,False,False
https://www.rappler.com/philippines/marcos-statement-ayungin-incident-china-not-armed-attack-west-sea-june-2024/,"Marcos on Ayungin incident: Deliberate action by China, but not armed attack",Dwight de Leon,2024,True,False,False,False
https://www.rappler.com/philippines/diokno-says-marcos-jr-agrees-reduce-military-pension/,"Marcos agrees to reduce military pension, make soldiers pay for it – Diokno",Bea Cupin,2023,True,False,False,False
https://www.rappler.com/philippines/marcos-jr-says-government-not-allow-rodrigo-duterte-arrest-international-criminal-court/,"Philippine gov’t will not turn in Duterte to ICC, says Marcos",Dwight de Leon,2024,True,False,False,False
